UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 07:21 ?        00:00:02 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root         2     0  0 07:21 ?        00:00:00 [kthreadd]
root         3     2  0 07:21 ?        00:00:00 [rcu_gp]
root         4     2  0 07:21 ?        00:00:00 [rcu_par_gp]
root         6     2  0 07:21 ?        00:00:00 [kworker/0:0H-ev]
root         9     2  0 07:21 ?        00:00:00 [mm_percpu_wq]
root        10     2  0 07:21 ?        00:00:00 [rcu_tasks_rude_]
root        11     2  0 07:21 ?        00:00:00 [rcu_tasks_trace]
root        12     2  0 07:21 ?        00:00:00 [ksoftirqd/0]
root        13     2  0 07:21 ?        00:00:00 [rcu_sched]
root        14     2  0 07:21 ?        00:00:00 [migration/0]
root        15     2  0 07:21 ?        00:00:00 [cpuhp/0]
root        17     2  0 07:21 ?        00:00:00 [kdevtmpfs]
root        18     2  0 07:21 ?        00:00:00 [netns]
root        21     2  0 07:21 ?        00:00:00 [kauditd]
root       261     2  0 07:21 ?        00:00:00 [khungtaskd]
root       262     2  0 07:21 ?        00:00:00 [oom_reaper]
root       263     2  0 07:21 ?        00:00:00 [writeback]
root       265     2  0 07:21 ?        00:00:00 [kcompactd0]
root       266     2  0 07:21 ?        00:00:00 [ksmd]
root       267     2  0 07:21 ?        00:00:00 [khugepaged]
root       322     2  0 07:21 ?        00:00:00 [kintegrityd]
root       324     2  0 07:21 ?        00:00:00 [kblockd]
root       325     2  0 07:21 ?        00:00:00 [blkcg_punt_bio]
root       677     2  0 07:21 ?        00:00:00 [xen-balloon]
root       683     2  0 07:21 ?        00:00:00 [tpm_dev_wq]
root       689     2  0 07:21 ?        00:00:00 [md]
root       692     2  0 07:21 ?        00:00:00 [edac-poller]
root       697     2  0 07:21 ?        00:00:00 [watchdogd]
root       794     2  0 07:21 ?        00:00:00 [kworker/0:1H-kb]
root       847     2  0 07:21 ?        00:00:00 [kswapd0]
root       849     2  0 07:21 ?        00:00:00 [xfsalloc]
root       850     2  0 07:21 ?        00:00:00 [xfs_mru_cache]
root       853     2  0 07:21 ?        00:00:00 [kthrotld]
root       864     2  0 07:21 ?        00:00:00 [xenbus]
root       865     2  0 07:21 ?        00:00:00 [xenwatch]
root       901     2  0 07:21 ?        00:00:00 [nvme-wq]
root       903     2  0 07:21 ?        00:00:00 [nvme-reset-wq]
root       905     2  0 07:21 ?        00:00:00 [nvme-delete-wq]
root       938     2  0 07:21 ?        00:00:00 [ipv6_addrconf]
root       951     2  0 07:21 ?        00:00:00 [kstrp]
root       961     2  0 07:21 ?        00:00:00 [zswap-shrink]
root       964     2  0 07:21 ?        00:00:00 [kworker/u31:0]
root      1644     2  0 07:21 ?        00:00:00 [ata_sff]
root      1657     2  0 07:21 ?        00:00:00 [scsi_eh_0]
root      1658     2  0 07:21 ?        00:00:00 [scsi_tmf_0]
root      1662     2  0 07:21 ?        00:00:00 [scsi_eh_1]
root      1663     2  0 07:21 ?        00:00:00 [scsi_tmf_1]
root      1667     2  0 07:21 ?        00:00:00 [kworker/u30:3-e]
root      1674     2  0 07:21 ?        00:00:00 [xfs-buf/xvda1]
root      1675     2  0 07:21 ?        00:00:00 [xfs-conv/xvda1]
root      1676     2  0 07:21 ?        00:00:00 [xfs-cil/xvda1]
root      1677     2  0 07:21 ?        00:00:00 [xfs-reclaim/xvd]
root      1678     2  0 07:21 ?        00:00:00 [xfs-eofblocks/x]
root      1679     2  0 07:21 ?        00:00:00 [xfs-log/xvda1]
root      1680     2  0 07:21 ?        00:00:01 [xfsaild/xvda1]
root      1739     1  0 07:21 ?        00:00:00 /usr/lib/systemd/systemd-journald
root      2393     1  0 07:21 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root      2395     1  0 07:21 ?        00:00:00 /usr/sbin/lvmetad -f
root      2398     2  0 07:21 ?        00:00:00 [ena]
root      2453     2  0 07:21 ?        00:00:00 [cryptd]
root      2539     2  0 07:21 ?        00:00:00 [rpciod]
